Log generated at: 2025-12-02_12-27-16
--- Logged information since last Button Press ---
0.11079692840576172, 192.168.0.169, 1935
0.11185884475708008, 192.168.0.169, 1921
3.896963596343994, 192.168.0.169, 2082
3.8973095417022705, 192.168.0.220, 2117
3.9982080459594727, 192.168.0.88, 2037
3.998854160308838, 192.168.0.220, 2119
4.311040878295898, 192.168.0.220, 2125
4.408165216445923, 192.168.0.220, 2125
4.517522811889648, 192.168.0.220, 2129
4.615368604660034, 192.168.0.220, 2127
4.716624736785889, 192.168.0.169, 2263
4.817591667175293, 192.168.0.220, 2142
4.920099496841431, 192.168.0.169, 2465
5.022140979766846, 192.168.0.169, 2543
5.229222297668457, 192.168.0.169, 2527
5.33049750328064, 192.168.0.169, 2617
5.548728704452515, 192.168.0.169, 2661
5.637629985809326, 192.168.0.169, 2683
5.739633321762085, 192.168.0.169, 2642
5.9465296268463135, 192.168.0.169, 2525
6.046385049819946, 192.168.0.169, 2486
6.25407862663269, 192.168.0.169, 2453
6.353463172912598, 192.168.0.169, 2480
6.571671724319458, 192.168.0.169, 2162
6.763087749481201, 192.168.0.220, 2159
7.0745625495910645, 192.168.0.220, 2157
7.173247337341309, 192.168.0.220, 2183
7.278668403625488, 192.168.0.88, 2526
7.279230356216431, 192.168.0.220, 2467
7.380913019180298, 192.168.0.88, 2709
7.592047452926636, 192.168.0.88, 2817
7.786770820617676, 192.168.0.88, 2883
7.788014888763428, 192.168.0.88, 2949
7.930516242980957, 192.168.0.88, 2939
8.097062587738037, 192.168.0.88, 2943
8.234600305557251, 192.168.0.88, 2952
8.505882978439331, 192.168.0.88, 2960
8.534083604812622, 192.168.0.88, 2964
8.709855794906616, 192.168.0.88, 2944
8.828938961029053, 192.168.0.88, 2917
9.019336938858032, 192.168.0.88, 2893
9.223597049713135, 192.168.0.88, 2508
9.325555801391602, 192.168.0.88, 2247
9.633090734481812, 192.168.0.169, 2175
9.745980978012085, 192.168.0.169, 2091
10.14576768875122, 192.168.0.169, 2082
10.35011100769043, 192.168.0.169, 2064
10.452281475067139, 192.168.0.169, 2054
10.495665550231934, 192.168.0.169, 2046
10.767760515213013, 192.168.0.169, 2047
10.964303731918335, 192.168.0.169, 2043
10.965449571609497, 192.168.0.169, 2032
11.170794010162354, 192.168.0.169, 2030
11.272467136383057, 192.168.0.169, 2047
11.31704592704773, 192.168.0.220, 2068
11.476274490356445, 192.168.0.220, 2076
11.61723017692566, 192.168.0.220, 2097
11.795290470123291, 192.168.0.220, 2085
11.985790014266968, 192.168.0.220, 2076
12.193200588226318, 192.168.0.220, 2064
12.296469688415527, 192.168.0.220, 2062
12.316463708877563, 192.168.0.220, 2046
12.601284503936768, 192.168.0.220, 2057
12.613269090652466, 192.168.0.220, 2064
12.907476902008057, 192.168.0.220, 1914
13.115290403366089, 192.168.0.88, 1975
13.218475103378296, 192.168.0.220, 1983
13.422552108764648, 192.168.0.88, 1840
13.528008699417114, 192.168.0.88, 1861
13.730167150497437, 192.168.0.88, 1835
13.842205047607422, 192.168.0.88, 1847
14.038288354873657, 192.168.0.88, 1841
14.138357162475586, 192.168.0.88, 1835
14.241748571395874, 192.168.0.88, 1833
14.453536748886108, 192.168.0.88, 1858
14.54805850982666, 192.168.0.88, 1872
14.754734516143799, 192.168.0.88, 1907
14.863719463348389, 192.168.0.88, 1906
15.061837434768677, 192.168.0.88, 1863
15.167088985443115, 192.168.0.88, 1889
15.369324684143066, 192.168.0.88, 2013
15.477177858352661, 192.168.0.88, 2028
15.677682876586914, 192.168.0.88, 2030
15.890277624130249, 192.168.0.88, 2057
16.082351446151733, 192.168.0.88, 2069
16.29206371307373, 192.168.0.88, 2083
16.396690607070923, 192.168.0.88, 2070
16.492512464523315, 192.168.0.88, 2089
16.699602603912354, 192.168.0.88, 2093
16.802520751953125, 192.168.0.88, 2098
17.003238439559937, 192.168.0.88, 2097
17.107027292251587, 192.168.0.88, 2101
17.313119888305664, 192.168.0.88, 2110
17.413070678710938, 192.168.0.88, 2112
17.621469020843506, 192.168.0.88, 2112
17.723207473754883, 192.168.0.88, 2112
17.928076028823853, 192.168.0.88, 2121
18.030151844024658, 192.168.0.88, 2118
18.236202239990234, 192.168.0.88, 2090
18.334518432617188, 192.168.0.88, 2070
18.438220977783203, 192.168.0.88, 2071
18.644551277160645, 192.168.0.88, 2075
18.74704599380493, 192.168.0.88, 2079
18.961927890777588, 192.168.0.88, 2073
19.0551278591156, 192.168.0.88, 2079
19.259066343307495, 192.168.0.88, 2080
19.363921880722046, 192.168.0.88, 2078
19.567031145095825, 192.168.0.88, 2089
19.66851305961609, 192.168.0.88, 2074
19.978561639785767, 192.168.0.88, 2079
19.99595832824707, 192.168.0.88, 2080
20.180835008621216, 192.168.0.88, 2075
20.27995991706848, 192.168.0.88, 2083
20.693446159362793, 192.168.0.88, 2074
20.89760994911194, 192.168.0.88, 2077
21.01215100288391, 192.168.0.88, 2081
21.204270601272583, 192.168.0.88, 2077
21.51722002029419, 192.168.0.88, 2074
21.618459224700928, 192.168.0.88, 2085
21.818359851837158, 192.168.0.88, 2084
22.127809047698975, 192.168.0.88, 2083
22.535062313079834, 192.168.0.88, 2076
22.740497827529907, 192.168.0.88, 2079
22.839958667755127, 192.168.0.88, 2077
22.94659662246704, 192.168.0.88, 2077
23.158548593521118, 192.168.0.88, 2088
23.252330541610718, 192.168.0.88, 2079
23.45731282234192, 192.168.0.88, 2079
23.560503005981445, 192.168.0.88, 2079
23.7649188041687, 192.168.0.88, 2083
23.864940404891968, 192.168.0.88, 2086
24.07157278060913, 192.168.0.88, 2074
24.18379831314087, 192.168.0.88, 2076
24.379910707473755, 192.168.0.88, 2080
24.478583812713623, 192.168.0.88, 2079
24.68618392944336, 192.168.0.88, 2091
24.785621404647827, 192.168.0.88, 2075
24.891177892684937, 192.168.0.88, 2083
25.094964265823364, 192.168.0.88, 2078
25.20660638809204, 192.168.0.88, 2076
25.403003454208374, 192.168.0.88, 2080
25.505803108215332, 192.168.0.88, 2077
25.712194442749023, 192.168.0.88, 2078
25.810089111328125, 192.168.0.88, 2079
26.017033338546753, 192.168.0.88, 2081
26.119906187057495, 192.168.0.88, 2080
26.32481050491333, 192.168.0.88, 2081
26.426575899124146, 192.168.0.88, 2080
26.633393049240112, 192.168.0.88, 2064
26.939138174057007, 192.168.0.88, 2087
27.143780946731567, 192.168.0.88, 2078
27.144991874694824, 192.168.0.88, 2076
27.281983375549316, 192.168.0.88, 2079
27.449095964431763, 192.168.0.88, 2077
27.758591651916504, 192.168.0.88, 2096
27.75990056991577, 192.168.0.88, 2074
27.88545870780945, 192.168.0.88, 2087
28.069040536880493, 192.168.0.88, 2074
28.382346868515015, 192.168.0.88, 2073
28.57907748222351, 192.168.0.88, 2064
28.67790150642395, 192.168.0.88, 2061
28.884860277175903, 192.168.0.88, 2066
29.09042477607727, 192.168.0.88, 2059
29.091689586639404, 192.168.0.88, 2064
29.293699741363525, 192.168.0.88, 2059
29.409898281097412, 192.168.0.88, 2062
29.533745288848877, 192.168.0.88, 2062
29.70666265487671, 192.168.0.88, 2069
29.831016302108765, 192.168.0.88, 2063
30.012022733688354, 192.168.0.88, 2061
30.129899501800537, 192.168.0.88, 2064
30.431828022003174, 192.168.0.88, 2064
30.622615814208984, 192.168.0.88, 2057
30.729809522628784, 192.168.0.88, 2047
30.830259084701538, 192.168.0.88, 2038
30.931287050247192, 192.168.0.88, 2064
31.13760733604431, 192.168.0.88, 2077
31.240721464157104, 192.168.0.88, 2065
31.342470407485962, 192.168.0.88, 2067
31.544880628585815, 192.168.0.88, 2070
31.647600173950195, 192.168.0.88, 2071
31.856910943984985, 192.168.0.88, 2068
31.95595073699951, 192.168.0.88, 2079
32.1605007648468, 192.168.0.88, 2071
32.26542544364929, 192.168.0.88, 2138
32.48001050949097, 192.168.0.88, 2155
32.67056393623352, 192.168.0.88, 2151
32.878377199172974, 192.168.0.88, 2144
32.98255109786987, 192.168.0.88, 2145
32.98440361022949, 192.168.0.88, 2133
33.288867712020874, 192.168.0.88, 2133
33.39039397239685, 192.168.0.88, 2119
